Station: Basel-Binningen
Suburban
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2024 01:00;60.2;7.5;1.6;35.8;25.2;0.4;10340.6;8.7;5.5;0.0;0.0
01.01.2024 02:00;70.0;1.9;0.7;7.2;4.4;0.1;2394.0;2.5;6.6;0.0;0.0
01.01.2024 03:00;70.3;1.5;0.4;3.7;1.8;0.0;1341.2;2.1;5.7;1.4;0.0
01.01.2024 04:00;67.0;1.3;0.3;2.0;1.0;0.0;1172.6;2.0;5.7;0.0;0.0
01.01.2024 05:00;66.5;2.0;0.3;2.9;1.4;0.1;1308.0;2.7;5.7;0.0;0.2
01.01.2024 06:00;67.1;2.7;0.3;4.6;2.1;0.1;1455.6;3.3;5.9;0.0;0.0
01.01.2024 07:00;70.1;2.0;0.2;3.1;1.5;0.0;1173.9;2.8;6.1;0.0;0.0
01.01.2024 08:00;71.7;1.5;0.2;4.6;2.1;0.0;839.6;2.3;6.6;0.0;0.0
01.01.2024 09:00;64.6;2.6;0.2;4.8;2.1;0.0;1702.0;3.4;5.5;0.0;14.5
01.01.2024 10:00;67.6;2.1;0.2;5.7;2.5;0.1;1253.3;2.9;6.8;0.0;95.5
01.01.2024 11:00;68.9;1.5;0.2;6.7;3.0;0.1;865.0;2.3;8.1;0.0;173.3
01.01.2024 12:00;71.2;1.1;0.2;8.0;3.6;0.0;695.5;1.9;8.2;0.1;157.0
01.01.2024 13:00;71.6;0.9;0.2;6.2;2.9;0.0;691.4;1.8;7.8;0.2;174.7
01.01.2024 14:00;70.7;1.0;0.2;4.7;2.2;0.0;736.2;1.7;8.2;0.0;127.7
01.01.2024 15:00;69.9;1.2;0.2;4.2;1.9;0.0;660.3;2.0;8.3;0.0;191.0
01.01.2024 16:00;67.9;1.4;0.2;3.4;1.7;0.0;924.4;2.3;8.3;0.0;87.0
01.01.2024 17:00;64.6;3.1;0.2;4.1;1.9;0.1;2018.5;4.0;7.6;0.0;26.2
01.01.2024 18:00;60.5;4.1;0.1;3.3;1.8;0.1;3355.0;4.9;5.7;0.0;0.2
01.01.2024 19:00;63.6;3.4;0.1;4.0;2.2;0.1;3313.3;4.1;6.3;0.0;0.0
01.01.2024 20:00;61.2;5.0;0.2;4.7;2.9;0.2;6142.2;5.9;6.2;0.0;0.0
01.01.2024 21:00;31.9;27.2;1.8;10.4;7.0;0.8;16766.3;29.0;4.8;0.0;0.0
