Station: Davos-Seehornwald
Rural, > 1000 m
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2024 01:00;57.7;1.9;1.2;1.9;-2.2;0.0;-0.6
01.01.2024 02:00;55.2;2.1;1.5;2.1;-2.8;0.0;-0.7
01.01.2024 03:00;49.9;3.7;2.2;3.7;-3.3;0.0;-0.7
01.01.2024 04:00;52.1;4.5;3.0;4.6;-4.2;0.0;-1.1
01.01.2024 05:00;65.8;0.7;0.2;0.7;-5.2;0.0;-1.3
01.01.2024 06:00;67.1;0.7;0.4;0.7;-5.6;0.0;-0.8
01.01.2024 07:00;64.0;3.4;0.3;3.5;-5.7;0.0;-0.6
01.01.2024 08:00;58.4;5.4;0.3;5.4;-5.9;0.0;-0.6
01.01.2024 09:00;61.8;1.7;0.3;1.8;-5.7;0.0;22.6
01.01.2024 10:00;59.0;2.9;0.4;3.4;-5.3;0.0;73.9
01.01.2024 11:00;57.8;3.4;0.5;4.4;-4.3;0.0;169.3
01.01.2024 12:00;53.2;4.9;0.7;7.2;-3.3;0.0;301.3
01.01.2024 13:00;61.4;1.8;0.4;2.5;-2.3;0.0;272.5
01.01.2024 14:00;63.6;1.4;0.5;1.7;-2.4;0.0;129.9
01.01.2024 15:00;62.6;4.3;0.6;5.2;-2.3;0.0;118.1
01.01.2024 16:00;55.4;5.8;0.8;6.7;-2.5;0.0;59.1
01.01.2024 17:00;60.7;2.8;0.8;3.0;-3.4;0.0;13.2
01.01.2024 18:00;61.7;1.6;1.1;1.7;-4.9;0.0;-1.1
01.01.2024 19:00;68.0;1.4;0.6;1.4;-5.3;0.0;-1.0
01.01.2024 20:00;68.7;0.8;0.5;0.9;-5.7;0.0;-1.0
01.01.2024 21:00;68.5;1.3;0.6;1.4;-5.8;0.0;-0.9
01.01.2024 22:00;65.8;2.3;2.4;2.8;-6.4;0.0;-0.9
01.01.2024 23:00;71.4;0.4;0.3;0.5;-5.6;0.0;-0.9
02.01.2024 00:00;70.3;0.4;0.3;0.5;-6.8;0.0;-1.1
02.01.2024 01:00;72.2;0.7;0.2;0.8;-6.6;0.0;-0.5
02.01.2024 02:00;75.6;0.2;0.2;0.3;-6.0;0.0;-0.7
02.01.2024 03:00;75.9;0.5;0.4;0.6;-5.9;0.0;-0.7
02.01.2024 04:00;71.8;2.3;0.4;2.6;-6.6;0.0;-0.2
02.01.2024 05:00;73.8;1.2;0.2;1.2;-6.1;0.0;-0.1
02.01.2024 06:00;70.4;3.6;0.2;3.7;-5.8;0.0;0.0
02.01.2024 07:00;63.4;7.4;0.4;7.7;-5.1;0.0;0.1
02.01.2024 08:00;70.7;2.6;0.4;2.7;-4.3;0.0;0.4
02.01.2024 09:00;73.9;1.8;0.4;1.8;-3.0;0.0;20.2
02.01.2024 10:00;69.6;4.0;0.6;4.7;-1.8;0.0;84.9
02.01.2024 11:00;60.9;6.9;1.1;8.8;-1.6;0.0;154.6
02.01.2024 12:00;58.5;12.1;1.3;16.6;-1.0;0.0;267.7
02.01.2024 13:00;55.6;12.9;1.8;18.3;1.3;0.0;288.2
02.01.2024 14:00;64.3;8.0;1.3;11.1;2.1;0.0;280.5
02.01.2024 15:00;65.8;6.1;0.7;7.3;2.2;0.0;145.4
02.01.2024 16:00;57.2;11.4;1.9;13.0;1.1;0.0;66.6
02.01.2024 17:00;70.2;2.0;0.6;2.2;1.8;0.0;10.4
02.01.2024 18:00;63.1;5.0;0.6;5.4;0.7;0.0;-0.5
02.01.2024 19:00;59.5;6.7;1.0;8.0;0.4;0.0;0.0
02.01.2024 20:00;52.0;11.3;1.5;11.4;-0.1;0.0;0.0
02.01.2024 21:00;46.9;15.9;3.8;16.0;-0.2;0.0;0.0
