Station: Basel-Binningen;;;;;;;;;;;
Suburban;;;;;;;;;;;
Hourly means, PREC: Hourly sums;;;;;;;;;;;
MEZ/CET;;;;;;;;;;;
Source: NABEL/MeteoSchweiz;;;;;;;;;;;
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2024 01:00;60.2;07.mai;01.juin;35.8;25.févr;0.4;10340.6;08.juil;05.mai;0.0;0.0
01.01.2024 02:00;70.0;01.sept;0.7;07.févr;04.avr;0.1;2394.0;02.mai;06.juin;0.0;0.0
01.01.2024 03:00;70.3;01.mai;0.4;03.juil;01.août;0.0;1341.2;02.janv;05.juil;01.avr;0.0
01.01.2024 04:00;67.0;01.mars;0.3;2.0;1.0;0.0;1172.6;2.0;05.juil;0.0;0.0
01.01.2024 05:00;66.5;2.0;0.3;02.sept;01.avr;0.1;1308.0;02.juil;05.juil;0.0;0.2
01.01.2024 06:00;67.1;02.juil;0.3;04.juin;02.janv;0.1;1455.6;03.mars;05.sept;0.0;0.0
01.01.2024 07:00;70.1;2.0;0.2;03.janv;01.mai;0.0;1173.9;02.août;06.janv;0.0;0.0
01.01.2024 08:00;71.7;01.mai;0.2;04.juin;02.janv;0.0;839.6;02.mars;06.juin;0.0;0.0
01.01.2024 09:00;64.6;02.juin;0.2;04.août;02.janv;0.0;1702.0;03.avr;05.mai;0.0;14.mai
01.01.2024 10:00;67.6;02.janv;0.2;05.juil;02.mai;0.1;1253.3;02.sept;06.août;0.0;95.5
01.01.2024 11:00;68.9;01.mai;0.2;06.juil;3.0;0.1;865.0;02.mars;08.janv;0.0;173.3
01.01.2024 12:00;71.2;01.janv;0.2;8.0;03.juin;0.0;695.5;01.sept;08.févr;0.1;157.0
01.01.2024 13:00;71.6;0.9;0.2;06.févr;02.sept;0.0;691.4;01.août;07.août;0.2;174.7
01.01.2024 14:00;70.7;1.0;0.2;04.juil;02.févr;0.0;736.2;01.juil;08.févr;0.0;127.7
01.01.2024 15:00;69.9;01.févr;0.2;04.févr;01.sept;0.0;660.3;2.0;08.mars;0.0;191.0
01.01.2024 16:00;67.9;01.avr;0.2;03.avr;01.juil;0.0;924.4;02.mars;08.mars;0.0;87.0
01.01.2024 17:00;64.6;03.janv;0.2;04.janv;01.sept;0.1;2018.5;4.0;07.juin;0.0;26.févr
01.01.2024 18:00;60.5;04.janv;0.1;03.mars;01.août;0.1;3355.0;04.sept;05.juil;0.0;0.2
01.01.2024 19:00;63.6;03.avr;0.1;4.0;02.févr;0.1;3313.3;04.janv;06.mars;0.0;0.0
01.01.2024 20:00;61.2;5.0;0.2;04.juil;02.sept;0.2;6142.2;05.sept;06.févr;0.0;0.0
01.01.2024 21:00;31.9;27.févr;01.août;10.avr;7.0;0.8;16766.3;29.0;04.août;0.0;0.0
01.01.2024 22:00;22.juin;32.6;01.févr;12.juil;08.août;0.7;15262.0;34.7;4.0;0.0;0.0
01.01.2024 23:00;27.avr;23.juil;01.mars;09.mars;06.mars;0.5;11453.1;25.0;03.sept;0.0;0.0
02.01.2024 00:00;16.févr;29.sept;02.févr;12.janv;8.0;0.6;11796.2;31.mai;03.mai;0.0;0.0
02.01.2024 01:00;27.mars;22.janv;2.0;10.mars;06.juil;0.4;10168.0;23.mars;03.juil;0.0;0.0
02.01.2024 02:00;34.4;17.juil;4.0;07.sept;05.mars;0.3;10123.3;18.août;04.janv;0.0;0.0
02.01.2024 03:00;25.févr;20.mai;04.mai;08.mai;05.mars;0.3;10805.3;21.juil;4.0;0.0;0.0
02.01.2024 04:00;22.sept;20.0;04.janv;08.juil;05.juil;0.3;9737.2;21.mars;4.0;0.0;0.0
02.01.2024 05:00;25.0;20.août;02.sept;06.août;04.mai;0.3;9236.4;22.janv;04.juil;0.0;0.0
02.01.2024 06:00;59.9;07.févr;01.juin;02.sept;01.juin;0.1;2590.4;08.févr;07.avr;0.9;0.0
02.01.2024 07:00;71.0;01.août;0.7;0.5;0.2;;784.3;02.avr;08.janv;0.3;0.0
02.01.2024 08:00;72.6;02.févr;0.6;0.5;0.2;;941.5;3.0;08.mai;0.2;0.0
02.01.2024 09:00;74.3;02.avr;0.5;0.4;0.1;;1130.1;3.0;9.0;0.2;01.mai
02.01.2024 10:00;78.2;01.juin;0.4;0.5;0.1;;884.7;02.mars;09.mars;0.1;23.août
02.01.2024 11:00;77.2;01.juin;0.4;0.5;0.1;;998.7;02.mars;09.avr;0.2;77.5
02.01.2024 12:00;73.3;01.mai;0.3;0.5;0.2;;1017.5;02.mars;09.mars;0.1;74.5
02.01.2024 13:00;74.6;01.sept;0.3;0.4;0.2;0.0;1060.6;02.juil;10.févr;0.0;79.2
02.01.2024 14:00;76.8;01.août;0.3;0.9;0.2;0.0;1120.2;02.juin;10.0;0.3;47.0
02.01.2024 15:00;76.9;01.juil;0.3;0.7;0.2;0.0;872.7;02.mars;09.juin;0.5;33.2
02.01.2024 16:00;78.1;02.mars;0.2;0.9;0.3;0.0;1075.3;3.0;09.juil;01.juin;11.févr
02.01.2024 17:00;79.7;02.févr;0.2;01.janv;0.4;0.0;1167.1;02.sept;09.mars;01.juin;02.févr
02.01.2024 18:00;80.4;01.août;0.2;01.juil;0.5;0.0;1157.7;02.avr;9.0;2.0;0.0
02.01.2024 19:00;81.1;01.août;0.2;01.janv;0.4;0.0;1363.6;02.avr;09.juin;0.4;0.0
02.01.2024 20:00;81.3;01.juil;0.2;1.0;0.4;0.0;1378.9;02.avr;10.juin;0.0;0.2
02.01.2024 21:00;85.3;01.févr;0.2;0.9;0.3;0.0;1004.6;01.sept;11.juil;0.0;0.0
02.01.2024 22:00;85.2;1.0;0.2;0.9;0.3;0.0;887.1;01.juil;12.avr;0.0;0.0
02.01.2024 23:00;83.6;0.9;0.2;0.9;0.5;0.0;958.4;01.juin;12.mars;0.0;0.0
03.01.2024 00:00;79.8;0.9;0.2;01.avr;0.6;0.0;983.9;01.mai;11.sept;0.0;0.0
03.01.2024 01:00;75.9;0.9;0.1;01.mars;0.7;0.0;1020.5;01.juin;11.mars;0.0;0.0
03.01.2024 02:00;74.1;1.0;0.2;01.janv;0.6;0.0;929.0;01.juin;11.avr;0.1;0.0
03.01.2024 03:00;73.9;1.0;0.1;01.janv;0.5;0.0;807.5;01.juin;11.0;0.3;0.0
03.01.2024 04:00;74.4;1.0;0.1;01.juil;0.7;0.0;757.2;01.avr;09.août;02.juin;0.0
03.01.2024 05:00;73.5;01.févr;0.2;01.juin;0.7;0.0;886.6;01.juil;10.févr;0.1;0.0
03.01.2024 06:00;78.0;1.0;0.1;02.août;01.avr;0.0;768.7;01.juil;10.janv;0.0;0.0
03.01.2024 07:00;77.2;01.mars;0.1;4.0;01.août;0.0;911.1;01.sept;09.sept;0.2;0.0
03.01.2024 08:00;77.7;01.mars;0.1;4.0;2.0;0.0;1002.4;2.0;10.janv;0.0;0.0
03.01.2024 09:00;79.2;01.juil;0.1;03.juil;01.août;0.1;1221.3;02.mai;10.juin;0.0;12.0
03.01.2024 10:00;81.2;01.avr;0.1;04.janv;01.sept;0.0;1139.6;02.janv;11.mai;0.0;108.8
03.01.2024 11:00;81.2;01.mars;0.1;03.août;01.août;0.1;1088.3;02.févr;12.mars;0.0;180.3
03.01.2024 12:00;81.0;1.0;0.1;03.juil;01.juin;0.0;972.4;01.juil;13.janv;0.0;255.3
03.01.2024 13:00;80.1;01.janv;0.2;03.févr;01.mai;0.0;1176.8;01.sept;13.avr;0.0;276.7
03.01.2024 14:00;76.3;01.avr;0.2;3.0;01.avr;0.0;1705.7;02.avr;13.févr;0.0;270.7
03.01.2024 15:00;79.6;01.févr;0.1;02.mai;0.9;0.0;1268.4;02.janv;13.juil;0.0;206.7
03.01.2024 16:00;78.8;01.juin;0.1;2.0;0.8;0.0;1599.3;02.avr;12.août;0.0;51.7
03.01.2024 17:00;78.2;02.janv;0.1;02.août;01.janv;0.0;1900.8;02.sept;12.juin;0.0;18.0
03.01.2024 18:00;83.7;01.juin;0.1;03.juin;01.mai;0.1;2257.3;02.févr;13.avr;0.0;0.0
03.01.2024 19:00;81.6;01.juin;0.1;03.janv;01.mars;0.0;2405.6;02.mars;10.sept;0.4;0.0
03.01.2024 20:00;79.6;01.juil;0.1;02.juil;01.févr;0.0;2257.9;02.mai;09.juil;0.2;0.0
03.01.2024 21:00;81.9;01.mars;0.1;02.juil;01.mai;0.0;1391.0;2.0;09.juil;0.0;0.0
03.01.2024 22:00;84.1;0.8;0.1;03.juin;01.sept;0.0;1061.4;01.juin;10.févr;0.0;0.0
03.01.2024 23:00;83.9;0.6;0.1;4.0;01.sept;0.0;945.1;01.mars;09.mai;0.0;0.0
04.01.2024 00:00;83.1;0.7;0.1;03.avr;01.juil;0.0;722.1;01.mars;09.févr;0.0;0.0
04.01.2024 01:00;83.0;0.7;0.1;04.févr;2.0;0.0;691.0;01.avr;09.mai;0.0;0.0
04.01.2024 02:00;82.3;0.6;0.1;04.mars;02.févr;0.0;576.8;01.févr;09.juin;0.0;0.0
04.01.2024 03:00;83.1;0.6;0.1;04.juil;02.juin;0.0;498.6;01.févr;09.avr;0.0;0.0
04.01.2024 04:00;82.4;0.4;0.1;04.juin;02.juin;0.0;466.8;01.févr;09.avr;0.0;0.0
04.01.2024 05:00;80.1;0.7;0.1;04.avr;02.mars;0.0;537.8;01.avr;08.août;0.0;0.0
04.01.2024 06:00;77.5;01.janv;0.1;6.0;03.janv;0.0;737.7;01.juin;08.mars;0.0;0.0
04.01.2024 07:00;77.6;01.avr;0.1;06.sept;03.juil;0.0;808.4;02.janv;08.juil;0.0;0.0
04.01.2024 08:00;77.3;01.mai;0.0;07.mai;03.sept;0.0;881.1;02.janv;08.mars;0.0;0.0
04.01.2024 09:00;75.6;01.sept;0.1;06.mai;03.mars;0.1;1092.8;02.mai;08.janv;0.0;06.févr
04.01.2024 10:00;72.5;2.0;0.1;05.mai;02.sept;0.1;1180.1;02.août;07.sept;0.0;41.5
04.01.2024 11:00;72.0;2.0;0.1;3.0;01.mai;0.1;1018.6;3.0;07.sept;0.3;80.0
04.01.2024 12:00;73.7;2.0;0.1;04.mars;02.févr;0.1;1070.9;02.août;08.mai;0.1;93.3
04.01.2024 13:00;73.0;01.juil;0.1;03.août;2.0;0.0;1210.0;02.juin;09.mars;0.1;245.8
04.01.2024 14:00;;;;05.août;02.sept;0.0;886.0;;09.juin;0.0;164.8
04.01.2024 15:00;76.2;2.0;0.2;04.août;02.févr;0.1;978.1;2.0;10.févr;0.0;177.0
04.01.2024 16:00;74.6;02.juin;0.1;04.août;02.avr;0.0;1544.7;02.juin;10.févr;0.0;99.7
04.01.2024 17:00;64.6;07.mars;0.1;7.0;03.mars;0.2;4018.4;07.févr;08.août;0.0;19.févr
04.01.2024 18:00;50.5;15.mai;0.2;06.août;03.avr;0.2;7548.0;15.sept;7.0;0.0;0.0
04.01.2024 19:00;35.0;25.mai;0.2;08.août;04.juin;0.6;11318.7;25.juil;06.mars;0.0;0.0
04.01.2024 20:00;29.sept;32.6;0.8;11.avr;06.juil;0.7;14500.2;32.9;06.mai;0.0;0.0
04.01.2024 21:00;27.mars;32.8;0.8;11.mai;06.avr;0.8;14352.9;33.2;05.août;0.0;0.0
04.01.2024 22:00;27.juil;29.juin;01.févr;12.sept;07.août;0.6;14598.9;29.sept;05.juil;0.0;0.0
04.01.2024 23:00;30.2;25.sept;01.janv;11.juin;07.mars;0.5;12680.2;26.janv;05.juin;0.0;0.0
05.01.2024 00:00;28.juin;25.0;01.janv;11.juil;07.févr;0.5;12166.0;25.mars;05.janv;0.0;0.0
05.01.2024 01:00;32.6;19.août;01.mai;10.mai;06.avr;0.4;11307.7;19.sept;04.sept;0.0;0.0
05.01.2024 02:00;33.1;18.août;01.août;08.mai;05.juin;0.3;10337.2;18.août;04.sept;0.0;0.0
05.01.2024 03:00;30.mai;19.juin;01.juil;09.janv;05.août;0.3;10200.1;19.août;5.0;0.0;0.0
05.01.2024 04:00;27.juil;20.janv;01.mars;08.août;05.juin;0.3;9805.8;20.janv;5.0;0.0;0.0
05.01.2024 05:00;28.mars;19.avr;1.0;07.juil;05.mars;0.4;9097.0;19.mai;5.0;0.0;0.0
05.01.2024 06:00;25.avr;20.août;0.9;07.sept;05.févr;0.4;9307.4;21.févr;05.janv;0.0;0.0
05.01.2024 07:00;15.janv;27.juil;0.9;08.sept;05.sept;0.4;11847.5;29.janv;04.août;0.0;0.0
05.01.2024 08:00;08.mai;34.4;01.juin;10.mai;7.0;0.5;13188.5;38.2;04.sept;0.0;0.0
05.01.2024 09:00;07.sept;35.3;2.0;12.avr;07.août;0.5;13510.4;40.2;04.sept;0.0;06.août
05.01.2024 10:00;07.avr;35.7;02.avr;12.juin;8.0;0.6;15001.1;51.0;05.févr;0.0;24.juil
05.01.2024 11:00;06.avr;36.6;02.sept;14.juin;08.août;0.7;16138.3;56.9;05.févr;0.2;37.2
05.01.2024 12:00;06.juil;36.7;02.août;16.févr;09.mars;0.8;16766.6;63.5;05.mai;0.2;50.0
05.01.2024 13:00;07.mai;33.4;01.janv;13.avr;08.juin;0.8;11890.8;58.5;05.sept;0.5;66.7
05.01.2024 14:00;05.juin;36.8;01.juin;14.juin;09.juin;1.0;14089.3;75.6;06.janv;0.0;50.3
05.01.2024 15:00;03.sept;40.8;01.juil;16.avr;10.août;0.8;14802.2;73.1;06.févr;0.1;15.0
05.01.2024 16:00;03.mars;38.9;01.mars;14.mai;09.juin;0.8;12578.6;67.1;06.mars;0.3;14.févr
05.01.2024 17:00;02.janv;40.3;01.janv;15.sept;11.mars;01.mars;14145.0;93.4;06.mars;0.0;07.août
05.01.2024 18:00;01.juin;43.4;0.9;16.sept;11.mars;01.avr;12605.4;79.3;06.janv;0.0;0.0
05.01.2024 19:00;2.0;45.1;01.mars;18.0;12.mai;01.avr;15493.7;91.6;06.janv;0.0;0.0
05.01.2024 20:00;02.févr;43.5;01.mars;21.janv;14.mai;01.juil;14696.3;99.2;06.janv;0.0;0.0
05.01.2024 21:00;02.mai;41.6;02.févr;21.avr;15.janv;01.juin;17200.4;91.6;6.0;0.0;0.0
05.01.2024 22:00;02.juin;38.8;02.juil;24.juil;15.juil;01.juil;17940.7;93.8;05.sept;0.0;0.0
05.01.2024 23:00;02.juil;32.0;1.0;19.janv;14.févr;01.mai;12844.4;61.7;05.juil;0.0;0.0
06.01.2024 00:00;07.mai;29.sept;0.7;19.mai;14.sept;01.mars;11616.0;50.0;06.janv;0.1;0.0
06.01.2024 01:00;35.1;12.août;0.6;12.janv;09.sept;0.6;6602.6;13.févr;06.févr;0.0;0.0
06.01.2024 02:00;33.2;14.févr;0.5;13.août;11.mars;0.6;6026.1;14.mars;6.0;0.0;0.0
06.01.2024 03:00;35.7;13.sept;0.5;13.0;10.août;0.5;5474.7;14.janv;05.sept;0.0;0.0
06.01.2024 04:00;42.3;09.sept;0.4;10.janv;08.mars;0.4;4348.8;09.sept;05.juil;0.0;0.0
06.01.2024 05:00;47.8;05.sept;0.3;08.août;06.juin;0.2;3288.4;05.août;05.avr;0.0;0.0
06.01.2024 06:00;50.5;04.août;0.3;8.0;04.sept;0.2;2882.5;04.juil;05.févr;0.0;0.0
06.01.2024 07:00;49.7;05.mai;0.3;07.juil;04.juin;0.2;3218.6;05.mai;05.janv;0.0;0.0
06.01.2024 08:00;50.3;05.mai;0.3;07.mai;04.mai;0.2;3257.6;05.mai;04.sept;0.0;0.0
06.01.2024 09:00;54.1;05.févr;0.2;07.mai;04.sept;0.2;3197.2;05.mars;04.août;0.0;04.févr
06.01.2024 10:00;50.6;05.mars;0.2;06.sept;04.juil;0.2;3408.0;05.mars;04.août;0.0;33.8
06.01.2024 11:00;52.1;05.juin;0.3;7.0;04.sept;0.2;3845.8;06.févr;05.févr;0.0;79.3
06.01.2024 12:00;53.9;05.juin;0.3;08.juin;05.févr;0.3;4777.6;06.mars;05.mai;0.0;114.8
